"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","Columbia Memorial Hospital","146","4","Perioperative Complications","6.731740154830024","13.953726944571423","Similar"
"2023","40.0","Columbia Memorial Hospital","146","5","Infectious Complications","212.1697357886309","218.2002585672645","Above"
"2023","40.0","Columbia Memorial Hospital","146","6","Malfunctions, Reactions, etc.","41.58790170132325","42.536187034645415","Similar"
"2023","40.0","Columbia Memorial Hospital","146","8","Other Medical and Surgical Complications","231.7629179331307","252.93377329709432","Above"
"2023","40.0","Community Memorial Hospital Inc","401","1","Extreme Complications","0","0","Below"
"2023","40.0","Community Memorial Hospital Inc","401","2","Cardiovascular-Respiratory Complications","240.24024024024024","576.1487190451348","Above"
"2023","40.0","Community Memorial Hospital Inc","401","3","Gastrointestinal Complications","14.598540145985401","40.41495778933615","Similar"
"2023","40.0","Community Memorial Hospital Inc","401","4","Perioperative Complications","39.5778364116095","44.59588782483861","Similar"
"2023","40.0","Community Memorial Hospital Inc","401","5","Infectious Complications","0","0","Below"
"2023","40.0","Community Memorial Hospital Inc","401","6","Malfunctions, Reactions, etc.","42.5531914893617","63.56183018863943","Similar"
"2023","40.0","Community Memorial Hospital Inc","401","8","Other Medical and Surgical Complications","85.47008547008548","115.18443976606801","Similar"
"2023","40.0","Corning Hospital","866","1","Extreme Complications","69.27710843373494","86.00449780816517","Similar"
"2023","40.0","Corning Hospital","866","2","Cardiovascular-Respiratory Complications","141.56626506024097","162.28154379566854","Similar"
"2023","40.0","Corning Hospital","866","3","Gastrointestinal Complications","20.42007001166861","22.57057049489283","Similar"
"2023","40.0","Corning Hospital","866","4","Perioperative Complications","6.591957811470006","20.419717344598343","Similar"
"2023","40.0","Corning Hospital","866","5","Infectious Complications","36.046860919194955","39.09502082401414","Below"
"2023","40.0","Corning Hospital","866","6","Malfunctions, Reactions, etc.","22.560631697687537","27.05472943772572","Similar"
"2023","40.0","Corning Hospital","866","7","Obstetrical Complications","19.841269841269842","27.199477504291885","Similar"
"2023","40.0","Corning Hospital","866","8","Other Medical and Surgical Complications","250.49814972957586","293.8809469505727","Above"
"2023","40.0","Crouse Hospital","636","1","Extreme Complications","81.73149689723022","112.24796873361947","Above"
"2023","40.0","Crouse Hospital","636","2","Cardiovascular-Respiratory Complications","183.22228952150212","228.59617351576256","Above"
"2023","40.0","Crouse Hospital","636","3","Gastrointestinal Complications","44.7936554560141","55.84023209182371","Above"
"2023","40.0","Crouse Hospital","636","4","Perioperative Complications","52.610482012225674","51.11935579072407","Similar"
"2023","40.0","Crouse Hospital","636","5","Infectious Complications","92.45104462400816","108.75734482527977","Similar"
"2023","40.0","Crouse Hospital","636","6","Malfunctions, Reactions, etc.","29.037154358872833","35.051753477793184","Similar"
"2023","40.0","Crouse Hospital","636","7","Obstetrical Complications","184.9217638691323","206.99291821942242","Above"
"2023","40.0","Crouse Hospital","636","8","Other Medical and Surgical Complications","175.28304460510162","229.53213891242322","Above"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","1","Extreme Complications","0","0","Below"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","2","Cardiovascular-Respiratory Complications","37.87878787878788","236.01347636655956","Similar"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","3","Gastrointestinal Complications","35.842293906810035","162.0092717605678","Similar"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","4","Perioperative Complications","0","0","Below"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","5","Infectious Complications","107.52688172043011","185.84602928939688","Similar"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","6","Malfunctions, Reactions, etc.","0","0","Below"
"2023","40.0","Crouse Hospital - Commonwealth Division","9059","8","Other Medical and Surgical Complications","35.842293906810035","262.8022583392191","Similar"
"2023","40.0","Cuba Memorial Hospital Inc","37","1","Extreme Complications","222.22222222222223","3741.3560390390444","Above"
"2023","40.0","Cuba Memorial Hospital Inc","37","2","Cardiovascular-Respiratory Complications","0","0","Below"
"2023","40.0","Cuba Memorial Hospital Inc","37","3","Gastrointestinal Complications","0","0","Below"
"2023","40.0","Cuba Memorial Hospital Inc","37","4","Perioperative Complications","0","0","Below"
