report_number,event_type,date_of_event,date_received,manufacturer_name,facility_state,patient_outcomes,device_problems,product_code,brand_name,generic_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence
1314492-2020-01393,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01394,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01394,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01395,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01395,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01396,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01396,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01397,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01397,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01398,Injury,2020-03-28,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01398,Injury,2020-03-28,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01399,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01399,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01400,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01400,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01401,Malfunction,2020-03-04,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01401,Malfunction,2020-03-04,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01402,Malfunction,2020-03-30,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01402,Malfunction,2020-03-30,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01403,Malfunction,2020-03-25,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01403,Malfunction,2020-03-25,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01404,Malfunction,2020-03-18,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01404,Malfunction,2020-03-18,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01405,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01405,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01406,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01406,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01407,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01407,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01408,Malfunction,2020-03-13,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION IQ PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01408,Malfunction,2020-03-13,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION IQ PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01409,Malfunction,2020-03-31,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01409,Malfunction,2020-03-31,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01410,Malfunction,2020-03-27,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01410,Malfunction,2020-03-27,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01411,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01411,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01412,Malfunction,,2020-04-28,BAXTER HEALTHCARECORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01412,Malfunction,,2020-04-28,BAXTER HEALTHCARECORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01413,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01413,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01414,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01414,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01415,Malfunction,2020-04-06,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01415,Malfunction,2020-04-06,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01416,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01416,Malfunction,,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01417,Malfunction,2020-03-17,2020-04-28,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
