report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
1314492-2020-01399,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03435,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03435,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2017865-2020-05431,,Malfunction,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",,,NVY,ISOFLEX OPTIM LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high,0,0
3012307300-2020-03433,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03433,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01391,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01391,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03400,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03400,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03432,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01412,,Malfunction,BAXTER HEALTHCARECORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
